ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
1,Material_1,5.0,0.05,10,1500,10,0.0,0.0
2,Material_2,5.1,0.06,11,1501,11,0.1,0.1
3,Material_3,5.2,0.07,12,1502,12,0.2,0.2
4,Material_4,5.3,0.08,13,1503,13,0.30000000000000004,0.30000000000000004
5,Material_5,5.4,0.09,14,1504,14,0.4,0.4
6,Material_6,5.5,0.1,15,1505,15,0.5,0.5
7,Material_7,5.6,0.11,16,1506,16,0.6000000000000001,0.6000000000000001
8,Material_8,5.7,0.12,17,1507,17,0.7000000000000001,0.7000000000000001
9,Material_9,5.8,0.13,18,1508,18,0.8,0.8
10,Material_10,5.9,0.14,19,1509,19,0.9,0.9
11,Material_11,6.0,0.15,20,1510,20,1.0,0.0
12,Material_12,6.1,0.16,21,1511,21,1.1,0.1
13,Material_13,6.2,0.17,22,1512,22,1.2000000000000002,0.2
14,Material_14,6.3,0.18,23,1513,23,1.3,0.30000000000000004
15,Material_15,6.4,0.19,24,1514,24,1.4000000000000001,0.4
16,Material_16,6.5,0.2,25,1515,25,0.0,0.5
17,Material_17,6.6,0.21,26,1516,26,0.1,0.6000000000000001
18,Material_18,6.7,0.22,27,1517,27,0.2,0.7000000000000001
19,Material_19,6.8,0.23,28,1518,28,0.30000000000000004,0.8
20,Material_20,6.9,0.24,29,1519,29,0.4,0.9
21,Material_21,7.0,0.25,30,1520,30,0.5,0.0
22,Material_22,7.1,0.26,31,1521,31,0.6000000000000001,0.1
23,Material_23,7.2,0.27,32,1522,32,0.7000000000000001,0.2
24,Material_24,7.3,0.28,33,1523,33,0.8,0.30000000000000004
25,Material_25,7.4,0.29,34,1524,34,0.9,0.4
26,Material_26,7.5,0.3,35,1525,35,1.0,0.5
27,Material_27,7.6,0.31,36,1526,36,1.1,0.6000000000000001
28,Material_28,7.7,0.32,37,1527,37,1.2000000000000002,0.7000000000000001
29,Material_29,7.8,0.33,38,1528,38,1.3,0.8
30,Material_30,7.9,0.34,39,1529,39,1.4000000000000001,0.9
31,Material_31,8.0,0.35,40,1530,40,0.0,0.0
32,Material_32,8.1,0.36,41,1531,41,0.1,0.1
33,Material_33,8.2,0.37,42,1532,42,0.2,0.2
34,Material_34,8.3,0.38,43,1533,43,0.30000000000000004,0.30000000000000004
35,Material_35,8.4,0.39,44,1534,44,0.4,0.4
36,Material_36,8.5,0.4,45,1535,45,0.5,0.5
37,Material_37,8.6,0.41,46,1536,46,0.6000000000000001,0.6000000000000001
38,Material_38,8.7,0.42,47,1537,47,0.7000000000000001,0.7000000000000001
39,Material_39,8.8,0.43,48,1538,48,0.8,0.8
40,Material_40,8.9,0.44,49,1539,49,0.9,0.9
41,Material_41,9.0,0.45,50,1540,50,1.0,0.0
42,Material_42,9.1,0.46,51,1541,51,1.1,0.1
43,Material_43,9.2,0.47,52,1542,52,1.2000000000000002,0.2
44,Material_44,9.3,0.48,53,1543,53,1.3,0.30000000000000004
45,Material_45,9.4,0.49,54,1544,54,1.4000000000000001,0.4
46,Material_46,9.5,0.5,55,1545,55,0.0,0.5
47,Material_47,9.6,0.51,56,1546,56,0.1,0.6000000000000001
48,Material_48,9.7,0.52,57,1547,57,0.2,0.7000000000000001
49,Material_49,9.8,0.53,58,1548,58,0.30000000000000004,0.8
50,Material_50,9.9,0.54,59,1549,59,0.4,0.9
51,Material_51,10.0,0.55,60,1550,60,0.5,0.0
52,Material_52,10.1,0.56,61,1551,61,0.6000000000000001,0.1
53,Material_53,10.2,0.57,62,1552,62,0.7000000000000001,0.2
54,Material_54,10.3,0.58,63,1553,63,0.8,0.30000000000000004
55,Material_55,10.4,0.59,64,1554,64,0.9,0.4
56,Material_56,10.5,0.6,65,1555,65,1.0,0.5
57,Material_57,10.6,0.61,66,1556,66,1.1,0.6000000000000001
58,Material_58,10.7,0.62,67,1557,67,1.2000000000000002,0.7000000000000001
59,Material_59,10.8,0.63,68,1558,68,1.3,0.8
60,Material_60,10.9,0.64,69,1559,69,1.4000000000000001,0.9
61,Material_61,11.0,0.65,70,1560,70,0.0,0.0
62,Material_62,11.1,0.66,71,1561,71,0.1,0.1
63,Material_63,11.2,0.67,72,1562,72,0.2,0.2
64,Material_64,11.3,0.68,73,1563,73,0.30000000000000004,0.30000000000000004
65,Material_65,11.4,0.69,74,1564,74,0.4,0.4
66,Material_66,11.5,0.7,75,1565,75,0.5,0.5
67,Material_67,11.6,0.71,76,1566,76,0.6000000000000001,0.6000000000000001
68,Material_68,11.7,0.72,77,1567,77,0.7000000000000001,0.7000000000000001
69,Material_69,11.8,0.73,78,1568,78,0.8,0.8
70,Material_70,11.9,0.74,79,1569,79,0.9,0.9
71,Material_71,12.0,0.75,80,1570,80,1.0,0.0
72,Material_72,12.1,0.76,81,1571,81,1.1,0.1
73,Material_73,12.2,0.77,82,1572,82,1.2000000000000002,0.2
74,Material_74,12.3,0.78,83,1573,83,1.3,0.30000000000000004
75,Material_75,12.4,0.79,84,1574,84,1.4000000000000001,0.4
76,Material_76,12.5,0.8,85,1575,85,0.0,0.5
77,Material_77,12.6,0.81,86,1576,86,0.1,0.6000000000000001
78,Material_78,12.7,0.82,87,1577,87,0.2,0.7000000000000001
79,Material_79,12.8,0.83,88,1578,88,0.30000000000000004,0.8
80,Material_80,12.9,0.84,89,1579,89,0.4,0.9
81,Material_81,13.0,0.85,90,1580,90,0.5,0.0
82,Material_82,13.1,0.86,91,1581,91,0.6000000000000001,0.1
83,Material_83,13.2,0.87,92,1582,92,0.7000000000000001,0.2
84,Material_84,13.3,0.88,93,1583,93,0.8,0.30000000000000004
85,Material_85,13.4,0.89,94,1584,94,0.9,0.4
86,Material_86,13.5,0.9,95,1585,95,1.0,0.5
87,Material_87,13.6,0.91,96,1586,96,1.1,0.6000000000000001
88,Material_88,13.7,0.92,97,1587,97,1.2000000000000002,0.7000000000000001
89,Material_89,13.8,0.93,98,1588,98,1.3,0.8
90,Material_90,13.9,0.94,99,1589,99,1.4000000000000001,0.9
91,Material_91,14.0,0.95,100,1590,10,0.0,0.0
92,Material_92,14.1,0.96,101,1591,11,0.1,0.1
93,Material_93,14.2,0.97,102,1592,12,0.2,0.2
94,Material_94,14.3,0.98,103,1593,13,0.30000000000000004,0.30000000000000004
95,Material_95,14.4,0.99,104,1594,14,0.4,0.4
96,Material_96,14.5,1.0,105,1595,15,0.5,0.5
97,Material_97,14.6,1.01,106,1596,16,0.6000000000000001,0.6000000000000001
98,Material_98,14.7,1.02,107,1597,17,0.7000000000000001,0.7000000000000001
99,Material_99,14.8,1.03,108,1598,18,0.8,0.8
100,Material_100,14.9,1.04,109,1599,19,0.9,0.9
101,Material_101,15.0,1.05,10,1600,20,1.0,0.0
102,Material_102,15.1,1.06,11,1601,21,1.1,0.1
103,Material_103,15.2,1.07,12,1602,22,1.2000000000000002,0.2
