ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
1,Cemento Portland,40.0,0.12,50.0,1440,80.0,6.0,0.9
2,Arena,5.0,0.02,100.0,1600,90.0,1.0,0.2
3,Grava,10.0,0.03,150.0,1800,95.0,0.5,1.0
4,Agua,0.0,0.001,,1000,,0.0,0.6
5,Silica Fume,70.0,0.6,60.0,2200,85.0,0.1,1.5
6,Cal,8.0,0.05,70.0,2100,75.0,2.0,0.6
7,Cenizas Volantes,20.0,0.02,80.0,700,65.0,1.2,0.4
8,Escoria Granulada,15.0,0.03,90.0,2900,88.0,0.6,0.3
9,Aditivo Reductor de Agua,5.0,0.4,40.0,1100,70.0,0.1,0.8
10,Polímero Superplastificante,100.0,0.8,30.0,900,80.0,0.01,0.25
11,Cemento de Aluminio,70.0,0.15,40.0,3200,90.0,4.0,1.2
12,Vidrio Molido,35.0,0.05,70.0,2500,85.0,0.2,1.5
13,Polvo de Mármol,25.0,0.1,90.0,2700,80.0,0.3,2.1
14,Polvo de Piedra Caliza,15.0,0.04,100.0,2400,75.0,0.4,2.0
15,Fibra de Vidrio,150.0,1.0,20.0,2600,95.0,0.2,0.8
16,Polipropileno,35.0,2.0,30.0,900,85.0,0.01,0.2
17,Acero de Refuerzo,500.0,0.6,100.0,7850,100.0,0.2,50.0
18,Fibra de Carbono,200.0,8.0,40.0,1800,90.0,0.1,0.6
19,Polvo de Granito,60.0,0.05,50.0,2750,85.0,0.4,3.0
20,Látex,10.0,3.0,10.0,950,70.0,0.05,0.2
21,Bentonita,10.0,0.03,120.0,800,85.0,5.0,0.5
22,Yeso,7.0,0.015,30.0,950,80.0,2.0,0.3
23,Vermiculita,1.0,0.25,80.0,1000,65.0,5.0,0.12
24,Celulosa,0.5,0.4,25.0,1200,70.0,6.0,0.05
25,Fibra de Poliéster,50.0,1.5,15.0,1450,75.0,0.3,0.4
26,Mica,35.0,0.03,150.0,2700,90.0,0.5,2.2
27,Escoria de Alto Horno,30.0,0.04,70.0,3300,85.0,0.4,0.9
28,Bentonita Sódica,12.0,0.035,110.0,950,75.0,5.5,0.6
29,Cuarzo,80.0,0.07,200.0,2650,95.0,0.1,6.0
30,Perlita,2.0,0.1,50.0,1100,65.0,3.0,0.3
31,Arcilla,5.0,0.02,100.0,1600,70.0,4.0,0.15
32,Asfalto,20.0,0.5,50.0,2300,60.0,0.4,0.75
33,Azufre,10.0,0.03,100.0,2070,55.0,0.2,0.22
34,Basalto,120.0,0.08,150.0,3000,80.0,0.15,1.8
35,Borato,3.0,0.05,90.0,1600,70.0,3.0,1.5
36,Carbón,25.0,0.06,80.0,1400,50.0,2.0,0.1
37,Cobre,220.0,6.0,70.0,8960,85.0,0.1,400.0
38,Dolomita,15.0,0.04,100.0,2900,60.0,0.5,2.3
39,Feldespato,5.0,0.03,100.0,2600,50.0,0.6,1.8
40,Grafito,20.0,0.2,150.0,2200,90.0,0.1,100.0
41,Hierro,250.0,0.5,60.0,7850,70.0,0.2,80.0
42,Lignito,5.0,0.01,100.0,1100,40.0,1.0,0.12
43,Manganeso,120.0,2.0,70.0,7200,60.0,0.3,7.8
44,Mercurio,0.0,1.0,,13534,95.0,0.0,8.3
45,Níquel,200.0,4.0,90.0,8900,90.0,0.1,90.0
46,Plata,250.0,50.0,100.0,10490,90.0,0.0,429.0
47,Plomo,15.0,2.0,100.0,11340,95.0,0.0,35.0
48,Silicio,150.0,5.0,200.0,2330,85.0,0.2,150.0
49,Talco,2.0,0.01,100.0,2700,75.0,0.5,0.2
50,Titanio,900.0,15.0,120.0,4500,95.0,0.0,22.0
51,Tungsteno,1500.0,40.0,150.0,19300,85.0,0.0,173.0
52,Uranio,100.0,60.0,300.0,19050,75.0,0.0,27.0
53,Zinc,250.0,2.0,100.0,7130,85.0,0.1,116.0
54,Caolín,10.0,0.02,200.0,2600,70.0,1.5,0.3
55,Barita,15.0,0.05,100.0,4500,80.0,0.2,0.1
56,Molibdeno,300.0,20.0,100.0,10280,90.0,0.0,138.0
57,Bismuto,100.0,10.0,50.0,9800,85.0,0.0,7.97
58,Magnesio,70.0,2.0,150.0,1740,85.0,0.1,156.0
59,Aluminio,100.0,1.5,50.0,2700,90.0,0.0,235.0
60,Cadmio,50.0,4.0,100.0,8650,80.0,0.0,97.0
61,Antimonio,150.0,12.0,200.0,6690,85.0,0.1,18.0
62,Plutonio,80.0,100.0,300.0,19840,85.0,0.0,6.74
63,Sodio,10.0,0.5,100.0,968,60.0,0.0,142.0
64,Potasio,15.0,0.3,100.0,860,55.0,0.0,102.0
65,Cloruro de Calcio,20.0,0.1,70.0,2150,80.0,10.0,0.5
66,Fosfato,25.0,0.05,100.0,3000,75.0,0.5,0.1
67,Sulfato de Magnesio,5.0,0.02,80.0,2570,70.0,0.4,0.1
68,Óxido de Hierro,50.0,0.1,100.0,5200,85.0,0.3,6.3
69,Óxido de Cinc,40.0,0.3,120.0,5600,85.0,0.1,0.6
70,Óxido de Aluminio,70.0,0.2,100.0,3950,85.0,0.2,30.0
71,Óxido de Titanio,80.0,0.5,100.0,4230,85.0,0.1,11.0
72,Óxido de Cobre,60.0,0.2,100.0,6360,85.0,0.1,80.0
73,Óxido de Níquel,150.0,3.0,150.0,6750,85.0,0.1,35.0
74,Óxido de Plomo,25.0,0.1,100.0,9200,85.0,0.0,5.0
75,Óxido de Magnesio,20.0,0.05,100.0,3580,85.0,0.1,60.0
76,Óxido de Cromo,200.0,1.0,150.0,5320,85.0,0.1,13.0
77,Óxido de Bismuto,80.0,0.3,50.0,8870,85.0,0.1,6.8
78,Óxido de Uranio,100.0,20.0,300.0,10970,85.0,0.0,27.0
79,Óxido de Manganeso,120.0,0.5,100.0,5280,85.0,0.1,7.8
80,Óxido de Tungsteno,500.0,5.0,150.0,11960,85.0,0.1,170.0
