ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
1,Cemento Portland,0.02666666666666667,0.0011900119001190012,50.0,0.0625,80.0,6.0,0.9
2,Arena,0.0033333333333333335,0.0001900019000190002,100.0,0.06959219858156028,90.0,1.0,0.2
3,Grava,0.006666666666666667,0.0002900029000290003,150.0,0.07845744680851063,95.0,0.5,1.0
4,Agua,0.0,0.0,5.0,0.04299645390070922,40.0,0.0,0.6
5,Silica Fume,0.04666666666666667,0.005990059900599006,60.0,0.09618794326241134,85.0,0.1,1.5
6,Cal,0.005333333333333333,0.0004900049000490005,70.0,0.09175531914893617,75.0,2.0,0.6
7,Cenizas Volantes,0.013333333333333334,0.0001900019000190002,80.0,0.02969858156028369,65.0,1.2,0.4
8,Escoria Granulada,0.01,0.0002900029000290003,90.0,0.12721631205673758,88.0,0.6,0.3
9,Aditivo Reductor de Agua,0.0033333333333333335,0.003990039900399004,40.0,0.047429078014184396,70.0,0.1,0.8
10,Polímero Superplastificante,0.06666666666666667,0.007990079900799009,30.0,0.03856382978723404,80.0,0.01,0.25
11,Cemento de Aluminio,0.04666666666666667,0.0014900149001490016,40.0,0.14051418439716312,90.0,4.0,1.2
12,Vidrio Molido,0.023333333333333334,0.0004900049000490005,70.0,0.10948581560283688,85.0,0.2,1.5
13,Polvo de Mármol,0.016666666666666666,0.000990009900099001,90.0,0.11835106382978723,80.0,0.3,2.1
14,Polvo de Piedra Caliza,0.01,0.0003900039000390004,100.0,0.10505319148936171,75.0,0.4,2.0
15,Fibra de Vidrio,0.1,0.00999009990099901,20.0,0.11391843971631206,95.0,0.2,0.8
16,Polipropileno,0.023333333333333334,0.01999019990199902,30.0,0.03856382978723404,85.0,0.01,0.2
17,Acero de Refuerzo,0.3333333333333333,0.005990059900599006,100.0,0.3466312056737589,100.0,0.2,50.0
18,Fibra de Carbono,0.13333333333333333,0.07999079990799908,40.0,0.07845744680851063,90.0,0.1,0.6
19,Polvo de Granito,0.04,0.0004900049000490005,50.0,0.12056737588652482,85.0,0.4,3.0
20,Látex,0.006666666666666667,0.02999029990299903,10.0,0.040780141843971635,70.0,0.05,0.2
